sequencia;setor;maquina;manutencao.tipo;OS;situacao;data.prog.inicio;data.prog.fim;data.real.inicio;obs;data
108;EXTRUSAO;117;R-105 LUBRIFICACAO - EXTRUSORA;4672;P;15/nov/24;15/11/2024 01:00;;;45611,0416
109;EXTRUSAO;115;R-107 INSPECAO MECANICA - COEX 3;;P;18/out/24;18/10/2024 12:00;;;45583,5
110;EXTRUSAO;118;ANALISE DE VIBRACAO;;R;12/jul/24;12/07/2024 12:00;12/07/2024 08:00;OS DA AC?O: 2620;45485,3333
111;EXTRUSAO;118;R-137 ANALISE DE VIBRACAO - EXTRUSORA;4597;R;10/set/24;10/09/2024 17:00;17/12/2024 00:00;;45545,7083
112;EXTRUSAO;117;ANALISE DE VIBRACAO;;R;09/ago/24;09/08/2024 12:00;09/08/2024 08:00;OS DE REFERENCIA: 2895;45513,3333
113;EXTRUSAO;117;R-137 ANALISE DE VIBRACAO - EXTRUSORA;;P;08/out/24;08/10/2024 17:00;;;45573,7083
114;EXTRUSAO;108;ANALISE DE VIBRACAO;;R;09/ago/24;09/08/2024 12:00;09/08/2024 08:00;OS DE REFERENCIA: 2896;45513,3333
115;EXTRUSAO;108;R-137 ANALISE DE VIBRACAO - EXTRUSORA;4598;R;08/out/24;08/10/2024 17:00;17/12/2024 00:00;;45573,7083
116;EXTRUSAO;115;ANALISE DE VIBRACAO;3438;R;19/set/24;19/09/2024 12:00;19/09/2024 08:00;OS DE REFERENCIA: ;45554,3333
117;EXTRUSAO;108;TERMOGRAFIA;3735;R;07/out/24;07/10/2024 00:00;07/11/2024 01:00;;45572
118;EXTRUSAO;112;TERMOGRAFIA;3736;R;08/out/24;08/10/2024 00:00;07/11/2024 01:00;;45573
119;EXTRUSAO;113;TERMOGRAFIA;3521;R;08/out/24;08/10/2024 00:00;17/10/2024 08:00;;45573
120;EXTRUSAO;115;TERMOGRAFIA;3737;R;09/out/24;09/10/2024 00:00;07/11/2024 10:10;;45574
